Date,Open,High,Low,Close,Volume
2016-06-06 13:26,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:27,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:28,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:29,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:30,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:31,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:32,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:33,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:34,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:35,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:36,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:37,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:38,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:39,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:40,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:41,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:42,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:43,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:44,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:45,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:46,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:47,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:48,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:49,7.260000,7.26,7.26,7.260000,3379897
2016-06-06 13:50,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:51,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:52,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:53,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:54,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:55,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:56,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:57,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 13:58,7.260000,7.26,7.26,7.260000,3381897
